,ImageID,distance,location
213,213,81,"[313, 326]"
214,214,452,"[157, 61]"
215,215,265,"[329, 130]"
216,216,258,"[311, 262]"
217,217,454,"[443, 234]"
218,218,282,"[253, 138]"
219,219,298,"[215, 278]"
220,220,221,"[393, 174]"
221,221,297,"[360, 137]"
222,222,277,"[283, 178]"
223,223,467,"[312, 327]"
224,224,372,"[416, 250]"
225,225,153,"[233, 283]"
226,226,207,"[190, 260]"
227,227,299,"[142, 284]"
228,228,280,"[37, 334]"
229,229,444,"[315, 228]"
230,230,191,"[200, 151]"
231,231,112,"[276, 397]"
232,232,94,"[276, 329]"
233,233,122,"[250, 194]"
234,234,358,"[221, 211]"
235,235,210,"[346, 235]"
236,236,84,"[287, 284]"
237,237,487,"[180, 339]"
238,238,219,"[283, 292]"
239,239,79,"[101, 78]"
240,240,84,"[276, 244]"
241,241,157,"[200, 12]"
242,242,449,"[220, 219]"
243,243,383,"[110, 387]"
244,244,155,"[320, 421]"
245,245,452,"[302, 205]"
246,246,87,"[160, 475]"
247,247,98,"[203, 173]"
248,248,208,"[77, 381]"
249,249,449,"[170, 284]"
250,250,264,"[200, 275]"
251,251,310,"[215, 303]"
252,252,205,"[76, 336]"
253,253,459,"[129, 249]"
254,254,176,"[195, 355]"
255,255,320,"[228, 242]"
256,256,401,"[110, 437]"
257,257,73,"[120, 162]"
258,258,119,"[255, 262]"
259,259,236,"[381, 194]"
260,260,193,"[315, 286]"
261,261,217,"[177, 235]"
262,262,161,"[150, 275]"
263,263,226,"[269, 202]"
264,264,479,"[259, 190]"
265,265,90,"[228, 356]"
266,266,433,"[425, 355]"
267,267,322,"[242, 198]"
268,268,177,"[424, 172]"
269,269,196,"[311, 119]"
270,270,164,"[294, 209]"
271,271,230,"[263, 223]"
272,272,403,"[208, 222]"
273,273,422,"[285, 363]"
274,274,406,"[390, 337]"
275,275,111,"[389, 300]"
276,276,104,"[89, 190]"
277,277,475,"[255, 306]"
278,278,190,"[268, 154]"
279,279,200,"[222, 284]"
280,280,144,"[154, 120]"
281,281,424,"[160, 210]"
282,282,279,"[222, 215]"
283,283,259,"[74, 380]"
284,284,308,"[96, 184]"
285,285,211,"[228, 209]"
286,286,256,"[229, 437]"
287,287,159,"[345, 232]"
288,288,465,"[231, 223]"
289,289,424,"[229, 200]"
290,290,247,"[361, 124]"
291,291,106,"[440, 224]"
292,292,382,"[268, 184]"
293,293,190,"[194, 357]"
294,294,122,"[192, 221]"
295,295,109,"[293, 218]"
296,296,455,"[208, 310]"
297,297,142,"[122, 215]"
298,298,87,"[220, 275]"
299,299,413,"[305, 313]"
300,300,432,"[258, 241]"
301,301,408,"[234, 253]"
302,302,116,"[49, 250]"
303,303,452,"[305, 241]"
304,304,146,"[218, 367]"
305,305,415,"[341, 179]"
306,306,123,"[288, 306]"
307,307,468,"[471, 298]"
308,308,389,"[336, 278]"
309,309,116,"[387, 100]"
310,310,487,"[342, 465]"
311,311,240,"[161, 475]"
312,312,301,"[237, 263]"
313,313,152,"[420, 406]"
314,314,352,"[166, 267]"
315,315,430,"[253, 307]"
316,316,466,"[371, 307]"
317,317,255,"[405, 260]"
318,318,140,"[298, 321]"
319,319,264,"[96, 189]"
320,320,270,"[170, 397]"
321,321,415,"[135, 119]"
322,322,421,"[266, 207]"
323,323,379,"[234, 435]"
324,324,410,"[349, 375]"
325,325,189,"[454, 213]"
326,326,239,"[272, 201]"
327,327,177,"[345, 194]"
328,328,419,"[194, 127]"
329,329,337,"[204, 203]"
330,330,204,"[264, 362]"
331,331,426,"[152, 201]"
332,332,329,"[470, 276]"
333,333,328,"[258, 136]"
334,334,364,"[233, 142]"
335,335,280,"[279, 255]"
336,336,408,"[298, 283]"
337,337,409,"[387, 233]"
338,338,157,"[313, 360]"
339,339,118,"[270, 214]"
340,340,490,"[229, 240]"
341,341,450,"[245, 302]"
342,342,302,"[437, 206]"
343,343,106,"[181, 343]"
344,344,293,"[376, 360]"
345,345,126,"[301, 431]"
346,346,406,"[326, 486]"
347,347,64,"[229, 328]"
348,348,225,"[262, 211]"
349,349,190,"[237, 333]"
350,350,281,"[338, 244]"
351,351,286,"[107, 351]"
352,352,73,"[142, 137]"
353,353,111,"[241, 242]"
354,354,112,"[267, 244]"
355,355,92,"[96, 366]"
356,356,307,"[246, 132]"
357,357,187,"[260, 260]"
358,358,445,"[275, 334]"
359,359,354,"[270, 155]"
360,360,81,"[281, 447]"
361,361,313,"[256, 239]"
362,362,350,"[353, 216]"
363,363,284,"[227, 226]"
364,364,90,"[262, 239]"
365,365,250,"[398, 236]"
366,366,310,"[350, 274]"
367,367,464,"[244, 446]"
368,368,339,"[291, 250]"
369,369,418,"[312, 307]"
370,370,351,"[338, 325]"
371,371,272,"[273, 258]"
372,372,234,"[262, 337]"
373,373,140,"[101, 54]"
374,374,375,"[193, 187]"
375,375,299,"[186, 83]"
376,376,138,"[291, 108]"
377,377,276,"[327, 317]"
378,378,431,"[324, 229]"
379,379,282,"[203, 213]"
380,380,435,"[408, 172]"
381,381,373,"[277, 259]"
382,382,145,"[312, 218]"
383,383,308,"[452, 297]"
384,384,258,"[210, 175]"
385,385,461,"[482, 355]"
386,386,93,"[219, 227]"
387,387,281,"[257, 227]"
388,388,377,"[457, 374]"
389,389,314,"[355, 267]"
390,390,233,"[126, 371]"
391,391,377,"[246, 321]"
392,392,330,"[116, 300]"
393,393,182,"[381, 62]"
394,394,73,"[158, 249]"
395,395,103,"[294, 179]"
396,396,407,"[297, 256]"
397,397,381,"[256, 293]"
398,398,96,"[450, 237]"
399,399,270,"[118, 352]"
400,400,293,"[226, 341]"
401,401,288,"[408, 423]"
402,402,132,"[298, 296]"
403,403,147,"[130, 356]"
404,404,204,"[287, 266]"
405,405,142,"[339, 303]"
406,406,146,"[223, 134]"
407,407,151,"[98, 335]"
408,408,388,"[176, 222]"
409,409,212,"[209, 381]"
410,410,115,"[267, 231]"
411,411,128,"[268, 19]"
412,412,87,"[193, 292]"
413,413,279,"[241, 219]"
414,414,175,"[278, 205]"
415,415,177,"[217, 456]"
416,416,121,"[214, 340]"
417,417,393,"[314, 309]"
418,418,169,"[394, 229]"
419,419,160,"[276, 422]"
420,420,363,"[203, 255]"
421,421,147,"[187, 379]"
422,422,234,"[374, 343]"
423,423,249,"[384, 276]"
424,424,84,"[382, 399]"
425,425,290,"[240, 297]"
426,426,229,"[201, 134]"
427,427,242,"[318, 471]"
428,428,323,"[287, 322]"
429,429,365,"[369, 346]"
430,430,263,"[250, 297]"
431,431,216,"[343, 181]"
432,432,195,"[191, 253]"
433,433,304,"[290, 255]"
434,434,486,"[308, 336]"
435,435,202,"[270, 166]"
436,436,302,"[273, 349]"
437,437,159,"[236, 204]"
438,438,157,"[252, 324]"
439,439,162,"[338, 226]"
440,440,433,"[277, 277]"
441,441,409,"[405, 243]"
442,442,203,"[181, 219]"
443,443,245,"[379, 237]"
444,444,121,"[321, 178]"
445,445,233,"[342, 308]"
446,446,106,"[383, 333]"
447,447,224,"[270, 291]"
448,448,80,"[128, 241]"
449,449,346,"[203, 297]"
450,450,299,"[314, 187]"
451,451,275,"[204, 322]"
452,452,205,"[299, 252]"
453,453,109,"[199, 146]"
454,454,141,"[275, 393]"
455,455,459,"[339, 261]"
456,456,186,"[405, 333]"
457,457,392,"[73, 238]"
458,458,411,"[98, 230]"
459,459,445,"[300, 256]"
460,460,259,"[264, 43]"
461,461,80,"[261, 287]"
462,462,367,"[312, 376]"
463,463,167,"[380, 346]"
464,464,357,"[291, 337]"
465,465,198,"[265, 344]"
466,466,386,"[141, 242]"
467,467,239,"[309, 302]"
468,468,197,"[409, 378]"
469,469,82,"[236, 210]"
470,470,226,"[236, 306]"
471,471,211,"[253, 356]"
472,472,305,"[156, 397]"
473,473,371,"[205, 225]"
474,474,423,"[326, 26]"
475,475,288,"[119, 169]"
476,476,307,"[312, 262]"
477,477,197,"[175, 331]"
478,478,451,"[286, 279]"
479,479,199,"[255, 212]"
480,480,289,"[197, 181]"
481,481,480,"[182, 127]"
482,482,249,"[251, 218]"
483,483,292,"[270, 190]"
484,484,325,"[414, 153]"
485,485,189,"[221, 313]"
486,486,215,"[340, 315]"
487,487,422,"[203, 304]"
488,488,342,"[299, 301]"
489,489,161,"[239, 225]"
490,490,141,"[306, 315]"
491,491,258,"[314, 205]"
492,492,439,"[321, 220]"
493,493,89,"[103, 240]"
494,494,94,"[284, 283]"
495,495,126,"[218, 332]"
496,496,385,"[273, 261]"
497,497,362,"[242, 254]"
498,498,484,"[312, 133]"
499,499,186,"[379, 273]"
500,500,461,"[285, 81]"
501,501,104,"[275, 196]"
502,502,66,"[280, 332]"
503,503,94,"[174, 280]"
504,504,154,"[491, 229]"
505,505,327,"[405, 292]"
506,506,441,"[336, 420]"
507,507,124,"[160, 129]"
508,508,206,"[159, 170]"
509,509,364,"[306, 269]"
510,510,132,"[290, 155]"
511,511,265,"[246, 45]"
512,512,326,"[248, 329]"
513,513,288,"[271, 50]"
514,514,382,"[448, 270]"
515,515,412,"[318, 108]"
516,516,199,"[279, 298]"
517,517,196,"[311, 99]"
518,518,320,"[218, 277]"
519,519,486,"[236, 348]"
520,520,413,"[246, 83]"
521,521,290,"[357, 340]"
522,522,134,"[376, 188]"
523,523,365,"[291, 339]"
524,524,394,"[328, 272]"
525,525,417,"[280, 256]"
526,526,367,"[367, 71]"
527,527,480,"[289, 213]"
528,528,136,"[348, 316]"
529,529,175,"[342, 202]"
530,530,436,"[145, 94]"
531,531,186,"[228, 277]"
532,532,321,"[301, 290]"
533,533,350,"[149, 380]"
534,534,414,"[214, 301]"
535,535,278,"[150, 262]"
536,536,214,"[272, 157]"
537,537,97,"[125, 342]"
538,538,417,"[304, 139]"
539,539,113,"[178, 270]"
540,540,373,"[230, 324]"
541,541,159,"[271, 225]"
542,542,353,"[43, 330]"
543,543,176,"[246, 242]"
544,544,331,"[261, 287]"
545,545,258,"[444, 293]"
546,546,169,"[130, 441]"
547,547,464,"[161, 296]"
548,548,135,"[272, 294]"
549,549,445,"[315, 349]"
550,550,306,"[369, 132]"
551,551,404,"[66, 328]"
552,552,333,"[200, 141]"
553,553,485,"[240, 255]"
554,554,282,"[303, 229]"
555,555,397,"[361, 170]"
556,556,466,"[371, 173]"
557,557,258,"[242, 122]"
558,558,210,"[429, 255]"
559,559,462,"[283, 106]"
560,560,344,"[274, 267]"
561,561,118,"[316, 197]"
562,562,171,"[102, 226]"
563,563,383,"[74, 334]"
564,564,140,"[303, 280]"
565,565,246,"[88, 368]"
566,566,196,"[333, 333]"
567,567,171,"[237, 215]"
568,568,128,"[299, 433]"
569,569,434,"[254, 306]"
570,570,317,"[50, 237]"
571,571,145,"[33, 333]"
572,572,187,"[372, 96]"
573,573,164,"[67, 290]"
574,574,351,"[117, 200]"
575,575,146,"[75, 226]"
576,576,263,"[334, 298]"
577,577,253,"[182, 264]"
578,578,251,"[186, 179]"
579,579,313,"[283, 319]"
580,580,219,"[233, 265]"
581,581,136,"[316, 261]"
582,582,456,"[298, 206]"
583,583,420,"[114, 131]"
584,584,196,"[290, 301]"
585,585,302,"[160, 58]"
586,586,270,"[171, 190]"
587,587,395,"[248, 303]"
588,588,160,"[70, 298]"
589,589,258,"[399, 119]"
590,590,376,"[233, 141]"
591,591,304,"[438, 269]"
592,592,222,"[36, 186]"
593,593,112,"[351, 261]"
594,594,486,"[264, 258]"
595,595,473,"[321, 171]"
596,596,155,"[24, 205]"
597,597,424,"[241, 187]"
598,598,302,"[291, 412]"
599,599,417,"[190, 219]"
600,600,406,"[356, 276]"
601,601,337,"[273, 315]"
602,602,269,"[107, 375]"
603,603,165,"[250, 305]"
604,604,192,"[266, 206]"
605,605,399,"[294, 173]"
606,606,120,"[293, 344]"
607,607,165,"[370, 330]"
608,608,397,"[58, 242]"
609,609,273,"[255, 146]"
610,610,461,"[190, 307]"
611,611,436,"[164, 349]"
612,612,199,"[134, 323]"
613,613,414,"[150, 246]"
614,614,92,"[304, 400]"
615,615,308,"[313, 303]"
616,616,437,"[174, 230]"
617,617,188,"[356, 248]"
618,618,483,"[129, 130]"
619,619,144,"[87, 336]"
620,620,175,"[423, 201]"
621,621,404,"[227, 76]"
622,622,319,"[169, 129]"
623,623,85,"[146, 220]"
624,624,407,"[208, 262]"
625,625,242,"[122, 344]"
626,626,248,"[204, 352]"
627,627,399,"[225, 377]"
628,628,220,"[189, 29]"
629,629,464,"[373, 232]"
630,630,161,"[239, 211]"
631,631,216,"[358, 197]"
632,632,390,"[179, 142]"
633,633,379,"[416, 202]"
634,634,257,"[216, 130]"
635,635,253,"[253, 266]"
636,636,404,"[307, 285]"
637,637,255,"[245, 168]"
638,638,415,"[426, 144]"
639,639,290,"[260, 306]"
640,640,380,"[371, 179]"
641,641,109,"[198, 265]"
642,642,131,"[228, 161]"
643,643,178,"[262, 199]"
644,644,146,"[218, 240]"
645,645,204,"[387, 303]"
646,646,132,"[340, 197]"
647,647,315,"[271, 207]"
648,648,303,"[182, 125]"
649,649,400,"[188, 280]"
650,650,170,"[232, 443]"
651,651,395,"[324, 105]"
652,652,324,"[271, 266]"
653,653,87,"[282, 153]"
654,654,409,"[301, 385]"
655,655,470,"[231, 17]"
656,656,416,"[236, 212]"
657,657,257,"[470, 170]"
658,658,105,"[40, 361]"
659,659,471,"[333, 144]"
660,660,163,"[370, 288]"
661,661,447,"[476, 185]"
662,662,125,"[338, 410]"
663,663,119,"[364, 415]"
664,664,279,"[207, 387]"
665,665,189,"[332, 151]"
666,666,421,"[338, 322]"
667,667,113,"[237, 205]"
668,668,344,"[248, 291]"
669,669,110,"[270, 291]"
670,670,352,"[188, 212]"
671,671,170,"[351, 323]"
672,672,141,"[148, 269]"
673,673,281,"[291, 213]"
674,674,424,"[461, 239]"
675,675,316,"[213, 372]"
676,676,384,"[182, 372]"
677,677,436,"[98, 353]"
678,678,442,"[181, 121]"
679,679,349,"[472, 226]"
680,680,195,"[125, 207]"
681,681,382,"[129, 418]"
682,682,297,"[264, 265]"
683,683,307,"[189, 155]"
684,684,61,"[271, 262]"
685,685,144,"[237, 216]"
686,686,289,"[292, 284]"
687,687,187,"[194, 96]"
688,688,104,"[273, 402]"
689,689,98,"[262, 261]"
690,690,236,"[260, 357]"
691,691,107,"[227, 245]"
692,692,215,"[306, 203]"
693,693,256,"[364, 111]"
694,694,292,"[222, 240]"
695,695,232,"[384, 370]"
696,696,189,"[150, 118]"
697,697,315,"[465, 375]"
698,698,335,"[269, 110]"
699,699,481,"[183, 154]"
700,700,146,"[322, 160]"
701,701,166,"[201, 90]"
702,702,376,"[198, 205]"
703,703,273,"[218, 151]"
704,704,286,"[167, 232]"
705,705,236,"[243, 139]"
706,706,269,"[333, 45]"
707,707,269,"[286, 315]"
708,708,140,"[219, 191]"
709,709,268,"[280, 240]"
710,710,162,"[168, 104]"
711,711,283,"[436, 339]"
712,712,235,"[434, 131]"
713,713,429,"[405, 235]"
714,714,437,"[139, 258]"
715,715,329,"[271, 213]"
716,716,334,"[68, 301]"
717,717,369,"[306, 329]"
718,718,265,"[260, 232]"
719,719,384,"[404, 160]"
720,720,450,"[109, 188]"
721,721,69,"[169, 363]"
722,722,101,"[341, 102]"
723,723,449,"[383, 179]"
724,724,328,"[288, 237]"
725,725,303,"[397, 278]"
726,726,171,"[302, 339]"
727,727,415,"[292, 419]"
728,728,147,"[286, 248]"
729,729,271,"[439, 300]"
730,730,343,"[41, 173]"
731,731,326,"[466, 163]"
732,732,465,"[194, 213]"
733,733,468,"[432, 340]"
734,734,400,"[225, 155]"
735,735,432,"[272, 313]"
736,736,357,"[279, 183]"
737,737,414,"[285, 293]"
738,738,408,"[125, 283]"
739,739,239,"[119, 310]"
740,740,70,"[319, 303]"
741,741,452,"[320, 180]"
742,742,437,"[93, 272]"
743,743,489,"[288, 211]"
744,744,425,"[190, 175]"
745,745,287,"[210, 335]"
746,746,160,"[176, 371]"
747,747,424,"[289, 283]"
748,748,445,"[296, 380]"
749,749,377,"[355, 237]"
750,750,81,"[273, 222]"
751,751,452,"[183, 65]"
752,752,192,"[165, 394]"
753,753,131,"[314, 226]"
754,754,396,"[356, 200]"
755,755,485,"[378, 228]"
756,756,176,"[217, 219]"
757,757,483,"[339, 323]"
758,758,216,"[202, 355]"
759,759,243,"[239, 269]"
760,760,169,"[306, 91]"
761,761,287,"[231, 269]"
762,762,275,"[313, 258]"
763,763,262,"[350, 222]"
764,764,318,"[99, 123]"
765,765,147,"[213, 330]"
766,766,244,"[276, 393]"
767,767,467,"[68, 104]"
768,768,319,"[247, 217]"
769,769,206,"[181, 289]"
770,770,257,"[338, 42]"
771,771,232,"[275, 418]"
772,772,116,"[402, 151]"
773,773,488,"[181, 211]"
774,774,151,"[166, 252]"
775,775,227,"[340, 128]"
776,776,330,"[273, 265]"
777,777,168,"[465, 358]"
778,778,122,"[179, 383]"
779,779,386,"[422, 347]"
780,780,337,"[372, 146]"
781,781,230,"[287, 205]"
782,782,95,"[314, 232]"
783,783,104,"[219, 180]"
784,784,202,"[287, 364]"
785,785,198,"[328, 317]"
786,786,441,"[317, 139]"
787,787,145,"[260, 222]"
788,788,241,"[324, 152]"
789,789,221,"[306, 392]"
790,790,282,"[266, 406]"
791,791,477,"[167, 376]"
792,792,241,"[456, 254]"
793,793,298,"[278, 264]"
794,794,265,"[230, 385]"
795,795,428,"[362, 301]"
796,796,234,"[275, 40]"
797,797,195,"[262, 233]"
798,798,279,"[295, 74]"
799,799,98,"[196, 401]"
800,800,292,"[105, 298]"
801,801,186,"[185, 242]"
802,802,244,"[124, 107]"
803,803,158,"[193, 127]"
804,804,405,"[220, 394]"
805,805,343,"[263, 345]"
806,806,168,"[331, 321]"
807,807,66,"[388, 265]"
808,808,316,"[326, 217]"
809,809,323,"[449, 244]"
810,810,148,"[311, 295]"
811,811,487,"[107, 252]"
812,812,393,"[380, 350]"
813,813,131,"[211, 156]"
814,814,209,"[174, 170]"
815,815,200,"[367, 122]"
816,816,177,"[204, 188]"
817,817,270,"[219, 87]"
818,818,467,"[199, 207]"
819,819,114,"[137, 221]"
820,820,477,"[278, 248]"
821,821,317,"[116, 344]"
822,822,263,"[318, 249]"
823,823,442,"[199, 328]"
824,824,174,"[274, 354]"
825,825,187,"[353, 181]"
826,826,174,"[300, 239]"
827,827,332,"[196, 287]"
828,828,155,"[213, 167]"
829,829,388,"[118, 314]"
830,830,320,"[297, 192]"
831,831,377,"[194, 343]"
832,832,287,"[145, 241]"
833,833,192,"[139, 70]"
834,834,208,"[167, 302]"
835,835,435,"[209, 236]"
836,836,172,"[428, 146]"
837,837,300,"[283, 312]"
838,838,415,"[279, 315]"
839,839,450,"[218, 117]"
840,840,226,"[248, 253]"
841,841,87,"[312, 258]"
842,842,199,"[163, 336]"
843,843,470,"[257, 261]"
844,844,400,"[248, 301]"
845,845,350,"[454, 292]"
846,846,358,"[344, 80]"
847,847,250,"[279, 350]"
848,848,191,"[389, 315]"
849,849,134,"[228, 305]"
850,850,236,"[114, 182]"
851,851,325,"[289, 327]"
852,852,180,"[222, 296]"
853,853,260,"[210, 186]"
854,854,390,"[223, 413]"
855,855,404,"[280, 211]"
856,856,386,"[160, 152]"
857,857,234,"[177, 169]"
858,858,323,"[288, 56]"
859,859,133,"[144, 387]"
860,860,270,"[276, 280]"
861,861,351,"[70, 217]"
862,862,232,"[81, 236]"
863,863,472,"[245, 448]"
864,864,367,"[191, 347]"
865,865,428,"[304, 229]"
866,866,474,"[145, 98]"
867,867,439,"[204, 230]"
868,868,369,"[322, 371]"
869,869,442,"[114, 330]"
870,870,394,"[321, 215]"
871,871,157,"[268, 312]"
872,872,380,"[276, 257]"
873,873,363,"[381, 450]"
874,874,166,"[121, 312]"
875,875,230,"[206, 187]"
876,876,114,"[217, 228]"
877,877,370,"[229, 42]"
878,878,225,"[413, 250]"
879,879,464,"[353, 434]"
880,880,265,"[234, 182]"
881,881,403,"[201, 194]"
882,882,366,"[236, 259]"
883,883,307,"[280, 256]"
884,884,481,"[146, 340]"
885,885,297,"[257, 263]"
886,886,394,"[288, 459]"
887,887,295,"[281, 249]"
888,888,392,"[201, 134]"
889,889,462,"[191, 315]"
890,890,134,"[260, 353]"
891,891,409,"[361, 422]"
892,892,395,"[431, 306]"
893,893,116,"[294, 277]"
894,894,108,"[346, 321]"
895,895,278,"[283, 295]"
896,896,435,"[252, 225]"
897,897,282,"[258, 215]"
898,898,476,"[302, 210]"
899,899,470,"[137, 144]"
900,900,319,"[328, 274]"
901,901,179,"[403, 346]"
902,902,420,"[167, 418]"
903,903,248,"[305, 294]"
904,904,78,"[386, 258]"
905,905,248,"[466, 358]"
906,906,199,"[258, 415]"
907,907,252,"[223, 382]"
908,908,446,"[194, 125]"
909,909,151,"[236, 294]"
910,910,377,"[53, 314]"
911,911,163,"[331, 382]"
912,912,188,"[170, 463]"
913,913,460,"[276, 202]"
914,914,152,"[284, 312]"
915,915,236,"[208, 338]"
916,916,234,"[401, 37]"
917,917,299,"[401, 340]"
918,918,319,"[245, 268]"
919,919,133,"[272, 433]"
920,920,257,"[327, 305]"
921,921,158,"[67, 206]"
922,922,61,"[232, 377]"
923,923,269,"[221, 29]"
924,924,157,"[206, 126]"
925,925,168,"[286, 168]"
926,926,198,"[147, 42]"
927,927,339,"[221, 306]"
928,928,207,"[105, 305]"
929,929,106,"[218, 383]"
930,930,429,"[431, 201]"
